RULE_NW001,
RULE_NW002,Well.2
RULE_NW003,Well.4
RULE_NW004A,
RULE_NW004B,
RULE_NW005,
RULE_NW006A,
RULE_NW006B,
RULE_NW006AB,
RULE_ACT001,Active.1
RULE_ACT002,Active.1
RULE_ACT003,Active.2
RULE_ACT004,Active.1
RULE_ACT005,Active.2
RULE_ACT006,
RULE_ACT007A,Active.2
RULE_ACT007B,Active.3
RULE_ACT008A,
RULE_ACT008B,
RULE_ACT009,
RULE_GATE001A,
RULE_GATE001B,
RULE_GATE002A,
RULE_GATE002B,
RULE_GATE003,
RULE_GATE004A,
RULE_GATE004B,
RULE_GATE005A,
RULE_GATE005B,
RULE_GATE006A,
RULE_GATE006B,
RULE_GATE007A,
RULE_GATE007B,
RULE_GATE008A,
RULE_GATE008B,
RULE_GATE001AB,
RULE_GATE002AB,
RULE_GATE003AB,
RULE_GATE004AB,
RULE_GATE005AB,
RULE_GATE006AB,
RULE_GATE007AB,
RULE_GATE008AB,
RULE_GATE001Ca,
RULE_GATE002Ca,
RULE_GATE003C,
RULE_GATE004Ca,
RULE_GATE004Cb,
RULE_GATE005C,
RULE_GATE006C,
RULE_GATE007C,
RULE_VT001,
RULE_VT002,
RULE_VTL003A,
RULE_VTL003B,
RULE_VTH003A,
RULE_VTH003B,
RULE_VTL004A,
RULE_VTL004B,
RULE_VTH004A,
RULE_VTH004B,
RULE_NIM001A,Implant.4
RULE_NIM001B,Implant.3
RULE_NIM001C,Implant.3
RULE_PIM001A,Implant.4
RULE_PIM001B,Implant.3
RULE_PIM001C,Implant.3
RULE_NIM002A,Implant.1
RULE_NIM002B,Implant.1
RULE_NIM002AB,Implant.1
RULE_PIM002A,Implant.1
RULE_PIM002B,Implant.1
RULE_PIM002AB,Implant.1
RULE_NIM003A,
RULE_NIM003B,
RULE_PIM003A,
RULE_PIM003B,
RULE_NIM004A,
RULE_NIM004B,
RULE_PIM004A,
RULE_PIM004B,
RULE_NIM005,Implant.2
RULE_PIM005,Implant.2
RULE_NIM006,
RULE_PIM006,
RULE_NIM007A,
RULE_NIM007B,
RULE_PIM007A,
RULE_PIM007B,
RULE_AIL1001,
RULE_AIL1002,
RULE_AIL1003A,
RULE_AIL1003B,
RULE_AIL1004,
RULE_AIL1005,
RULE_AIL1006,
RULE_AIL1007,
RULE_AIL1008,
RULE_AIL2001,
RULE_AIL2002,
RULE_AIL2003A,
RULE_AIL2003B,
RULE_AIL2004,
RULE_AIL2005,
RULE_AIL2006,
RULE_AIL2007,
RULE_AIL2008,
RULE_AIL2009,
RULE_AIL2010,
RULE_GIL001,
RULE_GIL002,
RULE_GIL003,
RULE_GIL004,
RULE_GIL005,
RULE_GIL006A,
RULE_GIL006B,
RULE_GIL007,
RULE_GIL008,
RULE_GIL009A,
RULE_GIL009B,
RULE_GIL010,
RULE_GIL011,
RULE_GIL012,
RULE_V0001a,
RULE_V0001bA,
RULE_V0001bB,
RULE_V0002GA,
RULE_V0002AA,
RULE_V0002GB,
RULE_V0002AB,
RULE_V0003GA,
RULE_V0003AA,
RULE_V0003GB,
RULE_V0003AB,
RULE_V0004,
RULE_V0005a,
RULE_V0005b,
RULE_V0006a,
RULE_V0006b,
RULE_V0007a,
RULE_V0007b,
RULE_V0008,
RULE_V0009,
RULE_V0010,
RULE_M1001A,Metal1.1
RULE_M1001B,Metal1.1
RULE_M1001,Metal1.1
